432	21	372	0	0
433	17	498	0	0
435	17	479	0	0
434	17	500	0	0
318	23	43	0	0
318	19	8	0	0
369	20	39	0	0
369	19	46	0	0
369	16	11	0	0
369	17	295	0	0
369	14	5	0	0
369	25	34	0	0
369	13	31	0	0
466	20	38	0	0
466	19	298	0	0
220	20	50	0	0
220	19	296	0	0
116	20	4	0	0
116	19	297	0	0
184	18	190	0	0
184	2	67	0	0
184	6	292	0	0
184	7	155	0	0
184	8	30	0	0
184	15	302	0	0
184	18	87	0	0
184	12	554	0	0
184	7	515	0	0
184	19	553	0	0
184	21	458	0	0
184	15	254	0	0
184	11	506	0	0
184	15	501	0	0
184	18	176	0	0
184	24	181	0	0
184	18	181	0	0
184	24	120	0	0
184	18	120	0	0
184	18	453	0	0
184	21	537	0	0
184	15	446	0	0
184	2	110	0	0
184	2	103	0	0
184	18	471	0	0
184	19	449	0	0
184	21	468	0	0
184	21	584	0	0
184	15	236	0	0
184	2	203	0	0
184	17	566	0	0
184	17	543	0	0
184	21	494	0	0
190	24	184	0	0
181	10	551	0	0
181	6	292	0	0
181	7	58	0	0
181	19	299	0	0
181	18	106	0	0
181	24	184	0	0
181	18	184	0	0
181	24	184	0	0
181	2	588	0	0
181	15	238	0	0
181	15	590	0	0
181	24	239	0	0
181	24	591	0	0
181	2	219	0	0
181	2	206	0	0
181	6	508	0	0
181	7	127	0	0
181	21	160	0	0
181	10	74	0	0
181	17	400	0	0
181	17	579	0	0
181	2	587	0	0
181	24	520	0	0
181	18	531	0	0
181	15	519	0	0
181	21	477	0	0
181	17	569	0	0
181	17	269	0	0
181	21	489	0	0
181	17	156	0	0
181	18	250	0	0
181	24	148	0	0
181	2	495	0	0
181	8	310	0	0
181	12	259	0	0
181	21	577	0	0
169	2	133	0	0
169	15	302	0	0
169	16	69	0	0
227	18	75	0	0
227	17	560	0	0
227	17	561	0	0
227	19	135	0	0
227	21	398	0	0
227	18	503	0	0
227	2	574	0	0
227	17	145	0	0
227	20	375	0	0
227	19	376	0	0
227	19	565	0	0
227	20	565	0	0
227	21	452	0	0
228	2	225	0	0
228	6	275	0	0
228	21	580	0	0
228	3	521	0	0
228	8	522	0	0
228	17	95	0	0
228	17	417	0	0
85	11	72	0	0
85	11	18	0	0
85	19	294	0	0
85	15	287	0	0
168	2	262	0	0
173	18	77	0	0
173	15	65	0	0
173	2	443	0	0
173	2	91	0	0
173	11	61	0	0
173	17	508	0	0
173	15	125	0	0
173	2	241	0	0
173	24	351	0	0
173	3	572	0	0
173	17	402	0	0
173	17	418	0	0
173	17	533	0	0
173	21	272	0	0
173	17	486	0	0
173	21	141	0	0
91	15	100	0	0
113	18	80	0	0
113	2	207	0	0
113	2	157	0	0
113	7	25	0	0
113	16	327	0	0
172	15	501	0	0
172	11	111	0	0
172	11	59	0	0
172	18	258	0	0
172	8	392	0	0
172	21	394	0	0
172	7	60	0	0
98	18	78	0	0
98	18	88	0	0
98	2	90	0	0
98	7	24	0	0
98	17	357	0	0
98	12	476	0	0
142	2	136	0	0
142	2	136	0	0
142	2	136	0	0
142	2	136	0	0
142	2	143	0	0
142	18	193	0	0
142	12	481	0	0
142	15	308	0	0
142	7	455	0	0
142	17	454	0	0
142	2	429	0	0
142	18	99	0	0
142	15	469	0	0
142	12	189	0	0
142	17	529	0	0
142	17	314	0	0
142	2	188	0	0
142	12	474	0	0
142	6	441	0	0
142	17	473	0	0
142	17	514	0	0
142	15	307	0	0
142	18	571	0	0
142	21	306	0	0
142	8	270	0	0
142	18	447	0	0
142	18	285	0	0
142	2	222	0	0
142	2	177	0	0
142	7	260	0	0
216	18	261	0	0
216	2	205	0	0
216	2	205	0	0
216	2	134	0	0
216	2	79	0	0
216	18	234	0	0
216	19	324	0	0
216	19	286	0	0
216	18	347	0	0
216	2	442	0	0
216	6	312	0	0
216	8	93	0	0
216	18	475	0	0
216	2	192	0	0
216	19	356	0	0
216	19	360	0	0
216	21	540	0	0
76	19	19	0	0
